sigma,snr,f1_med,f1_q1,f1_q3,mse_med,mse_q1,mse_q3,k_med
0.050000,30.000000,1.0000,1.0000,1.0000,0.000033,0.000018,0.000047,3.00
0.068510,21.894770,1.0000,1.0000,1.0000,0.000088,0.000039,0.000180,3.00
0.093871,15.979365,1.0000,1.0000,1.0000,0.000123,0.000092,0.000361,3.00
0.128621,11.662151,1.0000,1.0000,1.0000,0.000391,0.000261,0.000692,3.00
0.176236,8.511337,1.0000,1.0000,1.0000,0.000422,0.000326,0.000949,3.00
0.241476,6.211792,1.0000,1.0000,1.0000,0.000741,0.000279,0.001234,3.00
0.330868,4.533525,1.0000,1.0000,1.0000,0.001502,0.000833,0.002417,3.00
0.453353,3.308683,1.0000,1.0000,1.0000,0.006544,0.002447,0.011341,3.00
0.621179,2.414762,1.0000,0.8000,1.0000,0.017242,0.007732,0.036156,3.00
0.851134,1.762355,0.8000,0.6667,0.8000,0.052663,0.040240,0.077829,4.00
1.166215,1.286212,0.5714,0.4000,0.6667,0.137538,0.092237,0.191956,5.00
1.597937,0.938711,0.2857,0.1818,0.5000,0.286049,0.217420,0.371026,6.00
2.189477,0.685095,0.2500,0.1818,0.3636,0.481064,0.261999,0.555286,8.00
3.000000,0.500000,0.1818,0.0000,0.2857,0.654350,0.409295,0.888625,10.00
