cell,metric,mean,standard_error,ci95_lower,ci95_upper,min,max
null-gaussian,boundary_f1,0.32,0.06663945022680343,0.18608301100830937,0.45391698899169064,0.0,1.0
null-gaussian,k_error,4.32,0.4619744670036054,3.391627550923576,5.248372449076425,0.0,7.0
null-gaussian,complete_boundary_recovery_rate,0.32,0.06596969000988256,0.20758216260656845,0.45810297308144077,0.0,1.0
null-gaussian,map_saturation_rate,0.58,0.06979971346646059,0.4423344176857823,0.7062499664528802,0.0,1.0
heavy-tail-gaussian,boundary_f1,0.8184126984126984,0.02786186541507831,0.7624221836143295,0.8744032132110673,0.4444444444444445,1.0
heavy-tail-gaussian,k_error,1.22,0.20261555030275882,0.8128288074542621,1.6271711925457377,0.0,5.0
heavy-tail-gaussian,missed_change_rate,0.0,0.0,0.0,0.0,0.0,0.0
heavy-tail-gaussian,complete_boundary_recovery_rate,0.5,0.07071067811865475,0.3664451431682858,0.6335548568317142,0.0,1.0
heavy-tail-gaussian,map_saturation_rate,0.02,0.01979898987322333,0.003539259271646236,0.10495443589637815,0.0,1.0
zero-inflated-poisson,boundary_f1,0.4177777777777777,0.010316239243982173,0.39704651885277026,0.4385090367027851,0.22222222222222224,0.4444444444444445
zero-inflated-poisson,k_error,5.0,0.0,5.0,5.0,5.0,5.0
zero-inflated-poisson,missed_change_rate,0.06,0.02321153829895988,0.013354667418733278,0.10664533258126671,0.0,0.5
zero-inflated-poisson,complete_boundary_recovery_rate,0.0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0
zero-inflated-poisson,map_saturation_rate,1.0,0.0,0.9286524008666414,1.0,1.0,1.0
dense-gaussian,boundary_f1,0.8800000000000001,1.586032892321652e-17,0.8800000000000001,0.8800000000000001,0.88,0.88
dense-gaussian,k_error,3.0,0.0,3.0,3.0,3.0,3.0
dense-gaussian,missed_change_rate,0.0,0.0,0.0,0.0,0.0,0.0
dense-gaussian,complete_boundary_recovery_rate,0.0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0
dense-gaussian,map_saturation_rate,1.0,0.0,0.9286524008666414,1.0,1.0,1.0
short-segment-gaussian,boundary_f1,0.8106666666666666,0.008803215244412452,0.7929759433043767,0.8283573900289566,0.6666666666666666,1.0
short-segment-gaussian,k_error,0.96,0.049156144383100724,0.8612170294949713,1.0587829705050287,0.0,2.0
short-segment-gaussian,missed_change_rate,0.0,0.0,0.0,0.0,0.0,0.0
short-segment-gaussian,complete_boundary_recovery_rate,0.08,0.03836665218650176,0.03154951408859298,0.18838246918342838,0.0,1.0
short-segment-gaussian,map_saturation_rate,0.0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0
prior-conflict-gaussian,boundary_f1,0.0,0.0,0.0,0.0,0.0,0.0
prior-conflict-gaussian,k_error,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
prior-conflict-gaussian,missed_change_rate,1.0,0.0,1.0,1.0,1.0,1.0
prior-conflict-gaussian,complete_boundary_recovery_rate,0.0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0
prior-conflict-gaussian,map_saturation_rate,0.0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0
