cell,seed,data_hash,truth_hash,effective_config_hash
null-gaussian,261501,True,True,True
null-gaussian,261502,True,True,True
null-gaussian,261503,True,True,True
null-gaussian,261504,True,True,True
null-gaussian,261505,True,True,True
null-gaussian,261506,True,True,True
null-gaussian,261507,True,True,True
null-gaussian,261508,True,True,True
null-gaussian,261509,True,True,True
null-gaussian,261510,True,True,True
null-gaussian,261511,True,True,True
null-gaussian,261512,True,True,True
null-gaussian,261513,True,True,True
null-gaussian,261514,True,True,True
null-gaussian,261515,True,True,True
null-gaussian,261516,True,True,True
null-gaussian,261517,True,True,True
null-gaussian,261518,True,True,True
null-gaussian,261519,True,True,True
null-gaussian,261520,True,True,True
null-gaussian,261521,True,True,True
null-gaussian,261522,True,True,True
null-gaussian,261523,True,True,True
null-gaussian,261524,True,True,True
null-gaussian,261525,True,True,True
null-gaussian,261526,True,True,True
null-gaussian,261527,True,True,True
null-gaussian,261528,True,True,True
null-gaussian,261529,True,True,True
null-gaussian,261530,True,True,True
null-gaussian,261531,True,True,True
null-gaussian,261532,True,True,True
null-gaussian,261533,True,True,True
null-gaussian,261534,True,True,True
null-gaussian,261535,True,True,True
null-gaussian,261536,True,True,True
null-gaussian,261537,True,True,True
null-gaussian,261538,True,True,True
null-gaussian,261539,True,True,True
null-gaussian,261540,True,True,True
null-gaussian,261541,True,True,True
null-gaussian,261542,True,True,True
null-gaussian,261543,True,True,True
null-gaussian,261544,True,True,True
null-gaussian,261545,True,True,True
null-gaussian,261546,True,True,True
null-gaussian,261547,True,True,True
null-gaussian,261548,True,True,True
null-gaussian,261549,True,True,True
null-gaussian,261550,True,True,True
heavy-tail-gaussian,271501,True,True,True
heavy-tail-gaussian,271502,True,True,True
heavy-tail-gaussian,271503,True,True,True
heavy-tail-gaussian,271504,True,True,True
heavy-tail-gaussian,271505,True,True,True
heavy-tail-gaussian,271506,True,True,True
heavy-tail-gaussian,271507,True,True,True
heavy-tail-gaussian,271508,True,True,True
heavy-tail-gaussian,271509,True,True,True
heavy-tail-gaussian,271510,True,True,True
heavy-tail-gaussian,271511,True,True,True
heavy-tail-gaussian,271512,True,True,True
heavy-tail-gaussian,271513,True,True,True
heavy-tail-gaussian,271514,True,True,True
heavy-tail-gaussian,271515,True,True,True
heavy-tail-gaussian,271516,True,True,True
heavy-tail-gaussian,271517,True,True,True
heavy-tail-gaussian,271518,True,True,True
heavy-tail-gaussian,271519,True,True,True
heavy-tail-gaussian,271520,True,True,True
heavy-tail-gaussian,271521,True,True,True
heavy-tail-gaussian,271522,True,True,True
heavy-tail-gaussian,271523,True,True,True
heavy-tail-gaussian,271524,True,True,True
heavy-tail-gaussian,271525,True,True,True
heavy-tail-gaussian,271526,True,True,True
heavy-tail-gaussian,271527,True,True,True
heavy-tail-gaussian,271528,True,True,True
heavy-tail-gaussian,271529,True,True,True
heavy-tail-gaussian,271530,True,True,True
heavy-tail-gaussian,271531,True,True,True
heavy-tail-gaussian,271532,True,True,True
heavy-tail-gaussian,271533,True,True,True
heavy-tail-gaussian,271534,True,True,True
heavy-tail-gaussian,271535,True,True,True
heavy-tail-gaussian,271536,True,True,True
heavy-tail-gaussian,271537,True,True,True
heavy-tail-gaussian,271538,True,True,True
heavy-tail-gaussian,271539,True,True,True
heavy-tail-gaussian,271540,True,True,True
heavy-tail-gaussian,271541,True,True,True
heavy-tail-gaussian,271542,True,True,True
heavy-tail-gaussian,271543,True,True,True
heavy-tail-gaussian,271544,True,True,True
heavy-tail-gaussian,271545,True,True,True
heavy-tail-gaussian,271546,True,True,True
heavy-tail-gaussian,271547,True,True,True
heavy-tail-gaussian,271548,True,True,True
heavy-tail-gaussian,271549,True,True,True
heavy-tail-gaussian,271550,True,True,True
zero-inflated-poisson,281501,True,True,True
zero-inflated-poisson,281502,True,True,True
zero-inflated-poisson,281503,True,True,True
zero-inflated-poisson,281504,True,True,True
zero-inflated-poisson,281505,True,True,True
zero-inflated-poisson,281506,True,True,True
zero-inflated-poisson,281507,True,True,True
zero-inflated-poisson,281508,True,True,True
zero-inflated-poisson,281509,True,True,True
zero-inflated-poisson,281510,True,True,True
zero-inflated-poisson,281511,True,True,True
zero-inflated-poisson,281512,True,True,True
zero-inflated-poisson,281513,True,True,True
zero-inflated-poisson,281514,True,True,True
zero-inflated-poisson,281515,True,True,True
zero-inflated-poisson,281516,True,True,True
zero-inflated-poisson,281517,True,True,True
