cell,repetition,observed_seed,expected_seed
null-gaussian,0,261501,261501
null-gaussian,1,261502,261502
null-gaussian,2,261503,261503
null-gaussian,3,261504,261504
null-gaussian,4,261505,261505
null-gaussian,5,261506,261506
null-gaussian,6,261507,261507
null-gaussian,7,261508,261508
null-gaussian,8,261509,261509
null-gaussian,9,261510,261510
null-gaussian,10,261511,261511
null-gaussian,11,261512,261512
null-gaussian,12,261513,261513
null-gaussian,13,261514,261514
null-gaussian,14,261515,261515
null-gaussian,15,261516,261516
null-gaussian,16,261517,261517
null-gaussian,17,261518,261518
null-gaussian,18,261519,261519
null-gaussian,19,261520,261520
null-gaussian,20,261521,261521
null-gaussian,21,261522,261522
null-gaussian,22,261523,261523
null-gaussian,23,261524,261524
null-gaussian,24,261525,261525
null-gaussian,25,261526,261526
null-gaussian,26,261527,261527
null-gaussian,27,261528,261528
null-gaussian,28,261529,261529
null-gaussian,29,261530,261530
null-gaussian,30,261531,261531
null-gaussian,31,261532,261532
null-gaussian,32,261533,261533
null-gaussian,33,261534,261534
null-gaussian,34,261535,261535
null-gaussian,35,261536,261536
null-gaussian,36,261537,261537
null-gaussian,37,261538,261538
null-gaussian,38,261539,261539
null-gaussian,39,261540,261540
null-gaussian,40,261541,261541
null-gaussian,41,261542,261542
null-gaussian,42,261543,261543
null-gaussian,43,261544,261544
null-gaussian,44,261545,261545
null-gaussian,45,261546,261546
null-gaussian,46,261547,261547
null-gaussian,47,261548,261548
null-gaussian,48,261549,261549
null-gaussian,49,261550,261550
heavy-tail-gaussian,0,271501,271501
heavy-tail-gaussian,1,271502,271502
heavy-tail-gaussian,2,271503,271503
heavy-tail-gaussian,3,271504,271504
heavy-tail-gaussian,4,271505,271505
heavy-tail-gaussian,5,271506,271506
heavy-tail-gaussian,6,271507,271507
heavy-tail-gaussian,7,271508,271508
heavy-tail-gaussian,8,271509,271509
heavy-tail-gaussian,9,271510,271510
heavy-tail-gaussian,10,271511,271511
heavy-tail-gaussian,11,271512,271512
heavy-tail-gaussian,12,271513,271513
heavy-tail-gaussian,13,271514,271514
heavy-tail-gaussian,14,271515,271515
heavy-tail-gaussian,15,271516,271516
heavy-tail-gaussian,16,271517,271517
heavy-tail-gaussian,17,271518,271518
heavy-tail-gaussian,18,271519,271519
heavy-tail-gaussian,19,271520,271520
heavy-tail-gaussian,20,271521,271521
heavy-tail-gaussian,21,271522,271522
heavy-tail-gaussian,22,271523,271523
heavy-tail-gaussian,23,271524,271524
heavy-tail-gaussian,24,271525,271525
heavy-tail-gaussian,25,271526,271526
heavy-tail-gaussian,26,271527,271527
heavy-tail-gaussian,27,271528,271528
heavy-tail-gaussian,28,271529,271529
heavy-tail-gaussian,29,271530,271530
heavy-tail-gaussian,30,271531,271531
heavy-tail-gaussian,31,271532,271532
heavy-tail-gaussian,32,271533,271533
heavy-tail-gaussian,33,271534,271534
heavy-tail-gaussian,34,271535,271535
heavy-tail-gaussian,35,271536,271536
heavy-tail-gaussian,36,271537,271537
heavy-tail-gaussian,37,271538,271538
heavy-tail-gaussian,38,271539,271539
heavy-tail-gaussian,39,271540,271540
heavy-tail-gaussian,40,271541,271541
heavy-tail-gaussian,41,271542,271542
heavy-tail-gaussian,42,271543,271543
heavy-tail-gaussian,43,271544,271544
heavy-tail-gaussian,44,271545,271545
heavy-tail-gaussian,45,271546,271546
heavy-tail-gaussian,46,271547,271547
heavy-tail-gaussian,47,271548,271548
heavy-tail-gaussian,48,271549,271549
heavy-tail-gaussian,49,271550,271550
zero-inflated-poisson,0,281501,281501
zero-inflated-poisson,1,281502,281502
zero-inflated-poisson,2,281503,281503
zero-inflated-poisson,3,281504,281504
zero-inflated-poisson,4,281505,281505
zero-inflated-poisson,5,281506,281506
zero-inflated-poisson,6,281507,281507
zero-inflated-poisson,7,281508,281508
zero-inflated-poisson,8,281509,281509
zero-inflated-poisson,9,281510,281510
zero-inflated-poisson,10,281511,281511
zero-inflated-poisson,11,281512,281512
zero-inflated-poisson,12,281513,281513
zero-inflated-poisson,13,281514,281514
zero-inflated-poisson,14,281515,281515
zero-inflated-poisson,15,281516,281516
zero-inflated-poisson,16,281517,281517
zero-inflated-poisson,17,281518,281518
zero-inflated-poisson,18,281519,281519
zero-inflated-poisson,19,281520,281520
zero-inflated-poisson,20,281521,281521
zero-inflated-poisson,21,281522,281522
zero-inflated-poisson,22,281523,281523
zero-inflated-poisson,23,281524,281524
zero-inflated-poisson,24,281525,281525
zero-inflated-poisson,25,281526,281526
zero-inflated-poisson,26,281527,281527
zero-inflated-poisson,27,281528,281528
zero-inflated-poisson,28,281529,281529
zero-inflated-poisson,29,281530,281530
zero-inflated-poisson,30,281531,281531
zero-inflated-poisson,31,281532,281532
zero-inflated-poisson,32,281533,281533
zero-inflated-poisson,33,281534,281534
zero-inflated-poisson,34,281535,281535
zero-inflated-poisson,35,281536,281536
zero-inflated-poisson,36,281537,281537
zero-inflated-poisson,37,281538,281538
zero-inflated-poisson,38,281539,281539
zero-inflated-poisson,39,281540,281540
zero-inflated-poisson,40,281541,281541
zero-inflated-poisson,41,281542,281542
zero-inflated-poisson,42,281543,281543
zero-inflated-poisson,43,281544,281544
zero-inflated-poisson,44,281545,281545
zero-inflated-poisson,45,281546,281546
zero-inflated-poisson,46,281547,281547
zero-inflated-poisson,47,281548,281548
zero-inflated-poisson,48,281549,281549
zero-inflated-poisson,49,281550,281550
dense-gaussian,0,291501,291501
dense-gaussian,1,291502,291502
dense-gaussian,2,291503,291503
dense-gaussian,3,291504,291504
dense-gaussian,4,291505,291505
dense-gaussian,5,291506,291506
dense-gaussian,6,291507,291507
dense-gaussian,7,291508,291508
dense-gaussian,8,291509,291509
dense-gaussian,9,291510,291510
dense-gaussian,10,291511,291511
dense-gaussian,11,291512,291512
dense-gaussian,12,291513,291513
dense-gaussian,13,291514,291514
dense-gaussian,14,291515,291515
dense-gaussian,15,291516,291516
dense-gaussian,16,291517,291517
dense-gaussian,17,291518,291518
dense-gaussian,18,291519,291519
dense-gaussian,19,291520,291520
dense-gaussian,20,291521,291521
dense-gaussian,21,291522,291522
dense-gaussian,22,291523,291523
dense-gaussian,23,291524,291524
dense-gaussian,24,291525,291525
dense-gaussian,25,291526,291526
dense-gaussian,26,291527,291527
dense-gaussian,27,291528,291528
dense-gaussian,28,291529,291529
dense-gaussian,29,291530,291530
dense-gaussian,30,291531,291531
dense-gaussian,31,291532,291532
dense-gaussian,32,291533,291533
dense-gaussian,33,291534,291534
dense-gaussian,34,291535,291535
dense-gaussian,35,291536,291536
dense-gaussian,36,291537,291537
dense-gaussian,37,291538,291538
dense-gaussian,38,291539,291539
dense-gaussian,39,291540,291540
dense-gaussian,40,291541,291541
dense-gaussian,41,291542,291542
dense-gaussian,42,291543,291543
dense-gaussian,43,291544,291544
dense-gaussian,44,291545,291545
dense-gaussian,45,291546,291546
dense-gaussian,46,291547,291547
dense-gaussian,47,291548,291548
dense-gaussian,48,291549,291549
dense-gaussian,49,291550,291550
short-segment-gaussian,0,301501,301501
short-segment-gaussian,1,301502,301502
short-segment-gaussian,2,301503,301503
short-segment-gaussian,3,301504,301504
short-segment-gaussian,4,301505,301505
short-segment-gaussian,5,301506,301506
short-segment-gaussian,6,301507,301507
short-segment-gaussian,7,301508,301508
short-segment-gaussian,8,301509,301509
short-segment-gaussian,9,301510,301510
short-segment-gaussian,10,301511,301511
short-segment-gaussian,11,301512,301512
short-segment-gaussian,12,301513,301513
short-segment-gaussian,13,301514,301514
short-segment-gaussian,14,301515,301515
short-segment-gaussian,15,301516,301516
short-segment-gaussian,16,301517,301517
short-segment-gaussian,17,301518,301518
short-segment-gaussian,18,301519,301519
short-segment-gaussian,19,301520,301520
short-segment-gaussian,20,301521,301521
short-segment-gaussian,21,301522,301522
short-segment-gaussian,22,301523,301523
short-segment-gaussian,23,301524,301524
short-segment-gaussian,24,301525,301525
short-segment-gaussian,25,301526,301526
short-segment-gaussian,26,301527,301527
short-segment-gaussian,27,301528,301528
short-segment-gaussian,28,301529,301529
short-segment-gaussian,29,301530,301530
short-segment-gaussian,30,301531,301531
short-segment-gaussian,31,301532,301532
short-segment-gaussian,32,301533,301533
short-segment-gaussian,33,301534,301534
short-segment-gaussian,34,301535,301535
short-segment-gaussian,35,301536,301536
short-segment-gaussian,36,301537,301537
short-segment-gaussian,37,301538,301538
short-segment-gaussian,38,301539,301539
short-segment-gaussian,39,301540,301540
short-segment-gaussian,40,301541,301541
short-segment-gaussian,41,301542,301542
short-segment-gaussian,42,301543,301543
short-segment-gaussian,43,301544,301544
short-segment-gaussian,44,301545,301545
short-segment-gaussian,45,301546,301546
short-segment-gaussian,46,301547,301547
short-segment-gaussian,47,301548,301548
short-segment-gaussian,48,301549,301549
short-segment-gaussian,49,301550,301550
prior-conflict-gaussian,0,311501,311501
prior-conflict-gaussian,1,311502,311502
prior-conflict-gaussian,2,311503,311503
prior-conflict-gaussian,3,311504,311504
prior-conflict-gaussian,4,311505,311505
prior-conflict-gaussian,5,311506,311506
prior-conflict-gaussian,6,311507,311507
prior-conflict-gaussian,7,311508,311508
prior-conflict-gaussian,8,311509,311509
prior-conflict-gaussian,9,311510,311510
prior-conflict-gaussian,10,311511,311511
prior-conflict-gaussian,11,311512,311512
prior-conflict-gaussian,12,311513,311513
prior-conflict-gaussian,13,311514,311514
prior-conflict-gaussian,14,311515,311515
prior-conflict-gaussian,15,311516,311516
prior-conflict-gaussian,16,311517,311517
prior-conflict-gaussian,17,311518,311518
prior-conflict-gaussian,18,311519,311519
prior-conflict-gaussian,19,311520,311520
prior-conflict-gaussian,20,311521,311521
prior-conflict-gaussian,21,311522,311522
prior-conflict-gaussian,22,311523,311523
prior-conflict-gaussian,23,311524,311524
prior-conflict-gaussian,24,311525,311525
prior-conflict-gaussian,25,311526,311526
prior-conflict-gaussian,26,311527,311527
prior-conflict-gaussian,27,311528,311528
prior-conflict-gaussian,28,311529,311529
prior-conflict-gaussian,29,311530,311530
prior-conflict-gaussian,30,311531,311531
prior-conflict-gaussian,31,311532,311532
prior-conflict-gaussian,32,311533,311533
prior-conflict-gaussian,33,311534,311534
prior-conflict-gaussian,34,311535,311535
prior-conflict-gaussian,35,311536,311536
prior-conflict-gaussian,36,311537,311537
prior-conflict-gaussian,37,311538,311538
prior-conflict-gaussian,38,311539,311539
prior-conflict-gaussian,39,311540,311540
prior-conflict-gaussian,40,311541,311541
prior-conflict-gaussian,41,311542,311542
prior-conflict-gaussian,42,311543,311543
prior-conflict-gaussian,43,311544,311544
prior-conflict-gaussian,44,311545,311545
prior-conflict-gaussian,45,311546,311546
prior-conflict-gaussian,46,311547,311547
prior-conflict-gaussian,47,311548,311548
prior-conflict-gaussian,48,311549,311549
prior-conflict-gaussian,49,311550,311550
shared-boundary-heterogeneity,0,321501,321501
shared-boundary-heterogeneity,1,321502,321502
shared-boundary-heterogeneity,2,321503,321503
shared-boundary-heterogeneity,3,321504,321504
shared-boundary-heterogeneity,4,321505,321505
shared-boundary-heterogeneity,5,321506,321506
shared-boundary-heterogeneity,6,321507,321507
shared-boundary-heterogeneity,7,321508,321508
shared-boundary-heterogeneity,8,321509,321509
shared-boundary-heterogeneity,9,321510,321510
shared-boundary-heterogeneity,10,321511,321511
shared-boundary-heterogeneity,11,321512,321512
shared-boundary-heterogeneity,12,321513,321513
shared-boundary-heterogeneity,13,321514,321514
shared-boundary-heterogeneity,14,321515,321515
shared-boundary-heterogeneity,15,321516,321516
shared-boundary-heterogeneity,16,321517,321517
shared-boundary-heterogeneity,17,321518,321518
shared-boundary-heterogeneity,18,321519,321519
shared-boundary-heterogeneity,19,321520,321520
shared-boundary-heterogeneity,20,321521,321521
shared-boundary-heterogeneity,21,321522,321522
shared-boundary-heterogeneity,22,321523,321523
shared-boundary-heterogeneity,23,321524,321524
shared-boundary-heterogeneity,24,321525,321525
shared-boundary-heterogeneity,25,321526,321526
shared-boundary-heterogeneity,26,321527,321527
shared-boundary-heterogeneity,27,321528,321528
shared-boundary-heterogeneity,28,321529,321529
shared-boundary-heterogeneity,29,321530,321530
shared-boundary-heterogeneity,30,321531,321531
shared-boundary-heterogeneity,31,321532,321532
shared-boundary-heterogeneity,32,321533,321533
shared-boundary-heterogeneity,33,321534,321534
shared-boundary-heterogeneity,34,321535,321535
shared-boundary-heterogeneity,35,321536,321536
shared-boundary-heterogeneity,36,321537,321537
shared-boundary-heterogeneity,37,321538,321538
shared-boundary-heterogeneity,38,321539,321539
shared-boundary-heterogeneity,39,321540,321540
shared-boundary-heterogeneity,40,321541,321541
shared-boundary-heterogeneity,41,321542,321542
shared-boundary-heterogeneity,42,321543,321543
shared-boundary-heterogeneity,43,321544,321544
shared-boundary-heterogeneity,44,321545,321545
shared-boundary-heterogeneity,45,321546,321546
shared-boundary-heterogeneity,46,321547,321547
shared-boundary-heterogeneity,47,321548,321548
shared-boundary-heterogeneity,48,321549,321549
shared-boundary-heterogeneity,49,321550,321550
logistic-approximation-failure,0,331501,331501
logistic-approximation-failure,1,331502,331502
logistic-approximation-failure,2,331503,331503
logistic-approximation-failure,3,331504,331504
logistic-approximation-failure,4,331505,331505
logistic-approximation-failure,5,331506,331506
logistic-approximation-failure,6,331507,331507
logistic-approximation-failure,7,331508,331508
logistic-approximation-failure,8,331509,331509
logistic-approximation-failure,9,331510,331510
