split,seed,test_start_index,test_stop_index_exclusive,n_train,n_test,total_log_predictive,mean_log_predictive,k_map,boundary_stability_f1_tau3,boundary_stability_mae_tau3,phi_new_min,phi_new_max,fit_wall_seconds,score_wall_seconds
1,261201,28,180,1752,152,-3022.551578961734,-19.885207756327198,15,0.7857142857142857,0.09090909090909091,10.0,818.0,2.914563999976963,0.0011726249940693378
2,261202,202,354,1752,152,-2673.211406272503,-17.586917146529625,15,0.7857142857142857,0.09090909090909091,10.0,522.0,2.911386666004546,0.0011949170148000121
3,261203,382,534,1752,152,-715.5638331719399,-4.707656797183815,15,1.0,0.0,10.0,107.0,2.895983874972444,0.0009173330035991967
4,261204,586,738,1752,152,-1375.8849168419338,-9.051874452907459,15,0.9285714285714286,0.0,10.0,125.0,2.9306964579736814,0.0009232499869540334
5,261205,790,942,1752,152,-3808.60024823665,-25.056580580504274,15,0.9285714285714286,0.0,10.0,238.0,2.920098041999154,0.0008369170245714486
6,261206,966,1118,1752,152,-92.82580001650979,-0.610696052740196,15,1.0,0.0,10.0,178.0,2.902603666007053,0.0007323329919017851
7,261207,1171,1323,1752,152,-330.59532976639616,-2.174969274778922,15,0.8571428571428571,0.08333333333333333,12.0,179.0,2.9464163330267183,0.0009247080306522548
8,261208,1341,1493,1752,152,-4389.95482152022,-28.881281720527767,15,0.7142857142857143,0.1,10.0,235.0,2.9575546660344116,0.0008925420115701854
9,261209,1545,1697,1752,152,-2963.8001585742395,-19.498685253777893,15,0.8571428571428571,0.08333333333333333,10.0,290.0,3.1371157499961555,0.0008479589596390724
10,261210,1743,1895,1752,152,-4232.686818539896,-27.846623806183526,15,0.9285714285714286,0.0,10.0,160.0,2.945409916981589,0.0007757500279694796
