"SNP_name"	"chromosome"	"Physical_Position"	"rawData.log2ratio."
"SNP_A-2077094"	11	201447	0.342112
"SNP_A-2302629"	11	207140	0.065853
"SNP_A-1924384"	11	220368	-0.177696
"SNP_A-1782778"	11	232112	-0.239594
"SNP_A-2258306"	11	233987	0.115869
"SNP_A-4232138"	11	234129	0.104159
"SNP_A-1899206"	11	234197	-0.110552
"SNP_A-2078668"	11	273928	-0.129899
"SNP_A-2188173"	11	356710	-0.031792
"SNP_A-1841926"	11	430343	0.054144
"SNP_A-4240093"	11	662443	0.270785
"SNP_A-1812854"	11	668561	0.021864
"SNP_A-1894850"	11	723639	0.290421
"SNP_A-1784874"	11	732508	0.167512
"SNP_A-2115377"	11	745659	0.254159
"SNP_A-1811114"	11	878150	0.057036
"SNP_A-2175002"	11	890809	0.151904
"SNP_A-1926526"	11	932344	-0.481098
"SNP_A-1848083"	11	948566	0.456658
"SNP_A-1931135"	11	948789	-0.094265
"SNP_A-2306953"	11	953980	-0.178297
"SNP_A-2163666"	11	954271	0.291347
"SNP_A-4217714"	11	966019	0.254667
"SNP_A-2077503"	11	995108	-0.197766
"SNP_A-4197567"	11	1052867	0.243938
"SNP_A-2057756"	11	1053149	0.021336
"SNP_A-2311884"	11	1053247	-0.090412
"SNP_A-2210372"	11	1094626	0.102349
"SNP_A-1930206"	11	1101164	0.183721
"SNP_A-2153205"	11	1101474	-0.187191
"SNP_A-2196151"	11	1242752	0.077323
"SNP_A-4222406"	11	1253225	-0.104218
"SNP_A-1803473"	11	1253327	0.081133
"SNP_A-2146750"	11	1258853	0.158363
"SNP_A-2106254"	11	1260916	-0.036132
"SNP_A-2267037"	11	1282405	0.218113
"SNP_A-1876389"	11	1285488	-0.144916
"SNP_A-2074910"	11	1304914	0.164428
"SNP_A-2080436"	11	1321818	0.309143
"SNP_A-4229545"	11	1325150	0.212135
"SNP_A-4193618"	11	1326427	0.228302
"SNP_A-1946026"	11	1345412	0.445088
"SNP_A-1928363"	11	1346492	0.176941
"SNP_A-2082168"	11	1355978	-0.28969
"SNP_A-2306758"	11	1359205	0.140209
"SNP_A-2172740"	11	1454360	0.265002
"SNP_A-2052992"	11	1476557	0.175968
"SNP_A-2164346"	11	1489585	0.057552
"SNP_A-1932277"	11	1490258	0.436595
"SNP_A-2223209"	11	1493105	0.413386
"SNP_A-4241193"	11	1494093	0.142028
"SNP_A-4217785"	11	1564805	0.177295
"SNP_A-2184762"	11	1577360	0.104149
"SNP_A-1887099"	11	1581939	0.111814
"SNP_A-2186195"	11	1588987	-0.047946
"SNP_A-2140167"	11	1594720	-0.129443
"SNP_A-4199081"	11	1594825	0.27359
"SNP_A-2160834"	11	1605417	-0.135611
"SNP_A-1843666"	11	1615884	0.32609
"SNP_A-4241194"	11	1622874	-0.16095
"SNP_A-1845545"	11	1627800	0.402957
"SNP_A-1904552"	11	1629410	0.300711
"SNP_A-2269690"	11	1633498	-0.561571
"SNP_A-2180523"	11	1633927	0.025218
"SNP_A-2286555"	11	1637601	0.172424
"SNP_A-4240137"	11	1637803	0.445526
"SNP_A-2093601"	11	1658631	-0.216686
"SNP_A-2300431"	11	1708562	0.483005
"SNP_A-2006877"	11	1774671	0.169511
"SNP_A-1904191"	11	1811147	0.27331
"SNP_A-4205841"	11	1863391	0.466332
"SNP_A-2100090"	11	2043796	0.019922
"SNP_A-4220347"	11	2044487	0.222259
"SNP_A-1812010"	11	2057893	0.197775
"SNP_A-4232586"	11	2094715	-0.013127
"SNP_A-1870619"	11	2114097	0.137787
"SNP_A-2101944"	11	2201921	0.272984
"SNP_A-1910627"	11	2256757	0.032738
"SNP_A-1893093"	11	2266210	0.326631
"SNP_A-2283063"	11	2305354	0.643341
"SNP_A-2264912"	11	2323953	0.212598
"SNP_A-2312911"	11	2397565	0.459708
"SNP_A-2199433"	11	2455394	0.605949
"SNP_A-2111327"	11	2481124	0.048336
